Events,results,white_elo,black_elo,white_rating_diff,black_rating_diff,ecos,openings,time_control,termination,game_id
Rated Bullet game,1-0,2019,1985,9,-12,D31,Semi-Slav Defense: Noteboom Variation,120+0,Time forfeit,12138
Rated Blitz game,0-1,1600,2048,-1,2,D00,Queen's Pawn Game: Levitsky Attack,300+3,Time forfeit,12144
Rated Bullet game,0-1,1973,2028,-11,9,E60,"King's Indian Defense: Normal Variation, King's Knight Variation",120+0,Normal,12148
Rated Bullet game,0-1,2028,1973,-12,15,C15,"French Defense: Winawer Variation, Alekhine-Maroczy Gambit",120+0,Normal,12150
Rated Bullet game,1-0,1988,2016,13,-12,E92,"King's Indian Defense: Petrosian Variation, Stein Defense",120+0,Time forfeit,12158
Rated Bullet game,0-1,2004,2001,-10,12,C15,"French Defense: Winawer Variation, Alekhine-Maroczy Gambit",120+0,Time forfeit,12168
Rated Blitz game,1-0,2050,1599,2,-2,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+3,Time forfeit,12175
Rated Bullet game,1-0,2013,1994,12,-10,E92,"King's Indian Defense: Petrosian Variation, Stein Defense",120+0,Time forfeit,12178
Rated Blitz game,0-1,1781,1985,-5,5,A15,English Opening: Anglo-Indian Defense,180+1,Time forfeit,12187
Rated Bullet game,1/2-1/2,1984,2025,1,-1,C00,French Defense: Diemer-Duhm Gambit,120+0,Normal,12189
Rated Bullet game,1-0,2024,1985,10,-9,A81,Dutch Defense: Semi-Leningrad Variation,120+0,Normal,12196
Rated Bullet game,1-0,1976,2034,12,-14,C15,"French Defense: Winawer Variation, Alekhine-Maroczy Gambit",120+0,Normal,12205
Rated Blitz game,0-1,1597,2052,-2,2,D00,"Queen's Pawn Opening: Veresov Attack, Irish Gambit",300+3,Time forfeit,12207
Rated Bullet game,0-1,2020,1988,-12,11,A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation",120+0,Time forfeit,12220
Rated Blitz game,0-1,1979,1990,-11,11,B20,Sicilian Defense: Wing Gambit,180+0,Normal,12230
Rated Blitz game,1-0,2054,1595,2,-1,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+3,Time forfeit,12237
Rated Blitz game,1-0,2056,2001,11,-10,C46,Four Knights Game: Italian Variation,180+0,Normal,12248
Rated Blitz game,1-0,1991,2067,14,-16,D32,Tarrasch Defense,180+0,Time forfeit,12270
Rated Blitz game,1-0,2051,2005,11,-10,B20,Sicilian Defense: Keres Variation,180+0,Normal,12281
Rated Blitz game,0-1,1995,2062,-9,11,B01,Scandinavian Defense,180+0,Normal,12293
Rated Blitz game,0-1,1986,1992,-10,10,B56,Sicilian Defense: Modern Variations,240+0,Time forfeit,12302
Rated Bullet game,1-0,2149,1842,6,-4,D35,Queen's Gambit Declined: Normal Defense,120+0,Normal,12304
Rated Bullet game,1-0,2070,2010,23,-10,A00,Mieses Opening,60+0,Time forfeit,12316
Rated Blitz game,1/2-1/2,1814,1976,4,-5,D53,Queen's Gambit Declined: 4.Bg5 Be7,180+0,Time forfeit,12320
Rated Bullet game,0-1,1500,2093,-23,3,C00,French Defense: Normal Variation,0+1,Normal,12330
Rated Bullet game,0-1,1831,2136,-4,4,D31,Queen's Gambit Declined: Queen's Knight Variation,120+0,Time forfeit,12338
Rated Bullet game,1/2-1/2,2140,1827,-9,8,D35,Queen's Gambit Declined: Normal Defense,120+0,Time forfeit,12352
Rated Bullet game,0-1,1835,2131,-3,4,D31,Queen's Gambit Declined: Queen's Knight Variation,120+0,Time forfeit,12367
Rated Bullet game,1-0,2135,1832,4,-4,D32,Tarrasch Defense,120+0,Time forfeit,12379
Rated Blitz game,0-1,1971,2189,-5,6,E21,Nimzo-Indian Defense: Three Knights Variation,180+0,Normal,12435
Rated Blitz game,0-1,2195,1966,-21,17,A18,English Opening: Mikenas-Carls Variation #2,180+0,Normal,12437
Rated Bullet game,1/2-1/2,1605,2000,29,-9,B07,Pirc Defense #5,60+0,Normal,12439
Rated Bullet game,1-0,2082,1991,8,-9,A10,English Opening,60+0,Time forfeit,12454
Rated Bullet game,1-0,1982,2090,16,-14,B21,Sicilian Defense: Smith-Morra Gambit,60+0,Time forfeit,12461
Rated Blitz game,0-1,1648,1968,-6,3,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",240+0,Normal,12467
Rated Bullet game,0-1,1763,2076,-4,3,C13,"French Defense: Alekhine-Chatard Attack, Maroczy Variation",60+0,Normal,12470
Rated Bullet game,1-0,2079,1759,3,-3,A25,"English Opening: King's English Variation, Reversed Closed Sicilian",60+0,Time forfeit,12477
Rated Bullet game,0-1,1756,2082,-4,3,B20,Sicilian Defense: Wing Gambit,60+0,Time forfeit,12484
Rated Blitz game,0-1,1952,2004,-9,57,B22,Sicilian Defense: Alapin Variation,300+4,Normal,12488
Rated Bullet game,0-1,2085,1999,-14,13,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",60+0,Time forfeit,12501
Rated Bullet game,1-0,2071,1998,9,-10,A10,English Opening,60+0,Normal,12507
Rated Bullet game,1-0,2080,1770,4,-4,A25,"English Opening: King's English Variation, Reversed Closed Sicilian",60+1,Normal,12543
Rated Bullet game,0-1,1727,1988,-4,5,B07,Rat Defense: Accelerated Gurgenidze,60+0,Time forfeit,12548
Rated Bullet game,1-0,1993,2084,14,-14,C00,French Defense: Queen's Knight,60+0,Time forfeit,12556
Rated Bullet game,1-0,2070,1788,4,-21,A34,"English Opening: Symmetrical Variation, Normal Variation",60+0,Time forfeit,12563
Rated Bullet game,0-1,1712,2007,-3,4,B07,Rat Defense: Accelerated Gurgenidze,60+0,Normal,12566
Rated Bullet game,1-0,1767,2074,97,-18,E11,Bogo-Indian Defense: Vitolins Variation,60+0,Time forfeit,12573
Rated Bullet game,0-1,2011,2056,-10,10,B32,Sicilian Defense: Open #2,60+0,Normal,12583
Rated Bullet game,0-1,2066,2001,-14,14,A10,English Opening: Great Snake Variation,60+0,Time forfeit,12587
Rated Bullet game,1-0,2015,2052,12,-12,B32,Sicilian Defense: Open #2,60+0,Normal,12595
Rated Classical game,0-1,1636,1954,-4,4,D00,Queen's Pawn Game,480+5,Normal,12603
Rated Bullet game,0-1,2040,2027,-12,12,A10,English Opening: Great Snake Variation,60+0,Time forfeit,12607
Rated Bullet game,1-0,2039,1704,3,-3,C41,Philidor Defense #2,0+1,Normal,12615
Rated Bullet game,1-0,2042,1735,4,-4,C46,Four Knights Game: Italian Variation,60+0,Normal,12618
Rated Bullet game,1-0,2046,1626,2,-2,B00,Owen Defense,60+0,Normal,12627
Rated Blitz game,0-1,1705,1983,-4,4,D60,Queen's Gambit Declined: Orthodox Defense,180+3,Normal,12683
Rated Blitz game,0-1,1780,2076,-3,12,A45,Indian Game,240+0,Normal,12686
Rated Blitz game,0-1,2025,1987,-13,12,D35,Queen's Gambit Declined: Exchange Variation,180+0,Normal,12723
Rated Blitz game,0-1,1999,2012,-10,11,D55,"Queen's Gambit Declined: Modern Variation, Normal Line",180+0,Time forfeit,12746
Rated Bullet game,0-1,2028,2264,-5,5,A10,English Opening: Anglo-Scandinavian Defense,60+0,Normal,12753
Rated Bullet game,1-0,2269,2023,6,-4,C00,French Defense: Queen's Knight,60+0,Normal,12757
Rated Blitz game,0-1,2023,1989,-12,12,D53,Queen's Gambit Declined: 4.Bg5 Be7,180+0,Normal,12764
Rated Bullet game,1-0,2275,2019,5,-5,C00,French Defense: Queen's Knight,60+0,Normal,12767
Rated Bullet game,0-1,2014,2280,-4,5,A10,English Opening: Anglo-Scandinavian Defense,60+0,Time forfeit,12772
Rated Blitz game,0-1,1917,2041,-7,11,E17,"Queen's Indian Defense: Classical Variation, Polugaevsky Gambit",180+2,Time forfeit,12773
Rated Bullet game,0-1,2285,2010,-22,19,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+0,Normal,12780
Rated Classical game,1-0,1968,1617,7,-3,C44,Scotch Game: Benima Defense,900+3,Normal,12782
Rated Blitz game,0-1,2061,1869,-87,14,A51,Indian Game: Budapest Defense,180+3,Normal,12785
Rated Blitz game,0-1,2001,2011,-11,11,D55,"Queen's Gambit Declined: Modern Variation, Normal Line",180+0,Time forfeit,12788
Rated Bullet game,0-1,2029,2263,-5,5,A10,English Opening: Anglo-Scandinavian Defense,60+0,Normal,12789
Rated Bullet game,0-1,2268,2024,-21,19,B24,Sicilian Defense: Closed #2,60+0,Normal,12798
Rated Blitz game,1-0,2052,1910,10,-7,A80,Dutch Defense,180+2,Normal,12802
Rated Bullet game,0-1,2043,2247,-6,6,A10,English Opening: Anglo-Scandinavian Defense,60+0,Time forfeit,12804
Rated Blitz game,0-1,2022,1990,-12,12,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation",180+0,Normal,12810
Rated Bullet game,0-1,2253,2037,-21,18,B24,Sicilian Defense: Closed #2,60+0,Normal,12813
Rated Bullet game,1-0,2232,2055,8,-6,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+0,Time forfeit,12820
Rated Bullet game,0-1,2049,2240,-6,6,A38,"English Opening: Symmetrical Variation, Duchamp Variation",60+0,Normal,12829
Rated Blitz game,1-0,1903,1974,12,-61,D37,Queen's Gambit Declined: Three Knights Variation,180+2,Time forfeit,12832
Rated Blitz game,0-1,2002,2010,-11,11,B32,Sicilian Defense: Kalashnikov Variation,180+0,Time forfeit,12833
Rated Bullet game,1-0,2246,2043,7,-6,B24,Sicilian Defense: Closed #2,60+0,Time forfeit,12839
Rated Bullet game,0-1,2037,2253,-5,6,A36,"English Opening: Symmetrical Variation, Symmetrical Variation",60+0,Time forfeit,12845
Rated Bullet game,0-1,1788,2048,-5,4,B07,Pirc Defense #5,60+0,Normal,12853
Rated Bullet game,1-0,2259,2032,5,-5,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+0,Normal,12854
Rated Bullet game,0-1,2027,2264,-5,6,A10,English Opening: Anglo-Scandinavian Defense,60+0,Time forfeit,12858
Rated Bullet game,0-1,2270,2022,-21,19,B24,Sicilian Defense: Closed #2,60+0,Normal,12868
Rated Blitz game,1-0,2021,1991,10,-10,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",180+0,Time forfeit,12871
Rated Bullet game,1-0,2052,1587,2,-2,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Normal,12872
Rated Bullet game,1-0,2041,2249,18,-20,A10,English Opening: Anglo-Scandinavian Defense,60+0,Normal,12876
Rated Blitz game,1-0,1981,2020,12,-11,D31,Queen's Gambit Declined: Queen's Knight Variation,180+0,Time forfeit,12877
Rated Bullet game,0-1,2229,2059,-19,17,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+0,Normal,12881
Rated Bullet game,0-1,2076,2210,-7,9,A10,English Opening: Anglo-Scandinavian Defense,60+0,Time forfeit,12887
Rated Blitz game,0-1,1971,1915,-13,13,D00,Blackmar-Diemer Gambit: Ziegler Defense,180+2,Normal,12896
Rated Bullet game,0-1,2219,2069,-18,16,B33,Sicilian Defense: Lasker-Pelikan Variation,60+0,Time forfeit,12897
Rated Bullet game,0-1,1382,2139,-1,0,B12,Caro-Kann Defense: Advance Variation,120+0,Normal,12901
Rated Bullet game,0-1,1445,2054,-1,0,B07,Pirc Defense #4,60+0,Normal,12902
Rated Bullet game,0-1,2085,2201,-8,8,A10,English Opening: Anglo-Scandinavian Defense,60+0,Normal,12903
Rated Bullet game,0-1,2209,2077,-17,16,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+0,Normal,12908
Rated Bullet game,0-1,2093,2192,-8,9,A38,"English Opening: Symmetrical Variation, Duchamp Variation",60+0,Time forfeit,12915
Rated Blitz game,0-1,1842,1993,-6,7,A01,Nimzo-Larsen Attack: Indian Variation,300+0,Normal,12931
Rated Blitz game,1-0,1928,1958,11,-12,D07,"Queen's Gambit Refused: Chigorin Defense, Main Line",180+2,Normal,12936
Rated Blitz game,1-0,2000,1836,6,-7,A40,Polish Defense,300+0,Normal,12946
Rated Bullet game,0-1,1577,2139,-1,1,B07,Pirc Defense #5,120+0,Time forfeit,12951
Rated Blitz game,1-0,1829,2006,17,-16,A01,Nimzo-Larsen Attack: Indian Variation,300+0,Normal,12956
Rated Bullet game,0-1,1566,2155,-1,1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,120+0,Normal,12961
Rated Bullet game,1-0,2140,1576,1,-1,D70,Neo-Gruenfeld Defense: Non- or Delayed Fianchetto,120+0,Time forfeit,12962
Rated Blitz game,1-0,1957,1818,7,-6,C47,"Four Knights Game: Scotch Variation, Belgrade Gambit",180+0,Normal,12967
Rated Bullet game,1-0,2156,1154,0,0,E20,Nimzo-Indian Defense #2,120+0,Normal,12974
Rated Blitz game,1-0,1990,1846,7,-7,B00,Owen Defense,300+0,Time forfeit,12979
Rated Blitz game,1-0,1812,1964,15,-16,D07,Queen's Gambit Refused: Chigorin Defense #2,180+0,Normal,12983
Rated Bullet game,0-1,1969,2156,-7,10,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",120+0,Normal,12994
Rated Bullet game,1-0,1962,1575,3,-3,B12,"Caro-Kann Defense: Advance Variation, Bronstein Variation",120+0,Time forfeit,12998
Rated Bullet game,1-0,1572,1965,25,-24,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation",120+0,Time forfeit,13007
Rated Bullet game,1-0,1965,2139,15,-18,D31,Queen's Gambit Declined: Queen's Knight Variation,120+0,Normal,13011
Rated Bullet game,1-0,2139,1965,6,-6,D35,Queen's Gambit Declined: Normal Defense,120+0,Normal,13015
Rated Bullet game,0-1,1959,2145,-5,7,A44,Old Benoni Defense,120+0,Normal,13027
Rated Bullet game,0-1,2152,1954,-19,16,D32,Tarrasch Defense,120+0,Time forfeit,13041
Rated Bullet game,1-0,1970,2133,15,-17,C01,French Defense: Exchange Variation,120+0,Time forfeit,13077
Rated Bullet game,1-0,2054,2116,15,-15,B21,Sicilian Defense: Smith-Morra Gambit #2,60+0,Normal,13081
Rated Blitz game,0-1,1608,2181,-1,1,A00,Mieses Opening,180+0,Normal,13100
Rated Bullet game,0-1,2101,2069,-13,13,A41,Queen's Pawn Game: Anglo-Slav Opening,60+0,Time forfeit,13108
Rated Bullet game,1-0,2088,1731,3,-3,D07,"Queen's Gambit Refused: Chigorin Defense, Exchange Variation",120+0,Normal,13127
Rated Bullet game,1-0,2091,1728,3,-3,D07,"Queen's Gambit Refused: Chigorin Defense, Exchange Variation",120+0,Normal,13133
Rated Bullet game,0-1,1637,2082,-2,2,B07,Pirc Defense #4,60+0,Normal,13138
Rated Blitz game,1-0,1927,1997,14,-13,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation",180+0,Normal,13144
Rated Bullet game,1-0,1725,2094,23,-22,B20,Sicilian Defense: Wing Gambit,120+0,Normal,13146
Rated Bullet game,0-1,1439,2084,0,1,B07,Pirc Defense #5,60+0,Normal,13153
Rated Blitz game,0-1,1782,1952,-6,6,C45,Scotch Game: Classical Variation,300+0,Normal,13158
Rated Blitz game,1-0,1984,1895,8,-10,C50,Italian Game,180+0,Normal,13192
Rated Bullet game,0-1,1556,2085,-1,1,B07,Rat Defense: Accelerated Gurgenidze,60+0,Time forfeit,13193
Rated Blitz game,1-0,1992,1885,8,-9,D24,Queen's Gambit Accepted: Showalter Variation,180+0,Time forfeit,13208
Rated Bullet game,1-0,2086,1646,2,-2,C01,French Defense: Franco-Hiva Gambit I,0+1,Normal,13214
Rated Blitz game,1-0,1850,1958,14,-14,D07,"Queen's Gambit Refused: Chigorin Defense, Main Line",180+0,Time forfeit,13215
Rated Bullet game,1-0,2088,1644,2,-2,B21,Sicilian Defense: Smith-Morra Gambit #2,0+1,Time forfeit,13229
Rated Blitz game,1-0,1864,2000,14,-15,D37,Queen's Gambit Declined: Three Knights Variation,180+0,Time forfeit,13243
Rated Bullet game,1-0,1828,2068,19,-18,B46,Sicilian Defense: Paulsen Variation,60+1,Time forfeit,13262
Rated Bullet game,0-1,2090,1985,-17,14,B01,Scandinavian Defense: Mieses-Kotroc Variation,60+0,Time forfeit,13270
Rated Bullet game,1-0,2050,1847,5,-6,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+1,Time forfeit,13279
Rated Bullet game,0-1,1841,2055,-5,6,A51,Indian Game: Budapest Defense,60+1,Normal,13289
Rated Bullet game,0-1,1449,2073,-1,1,B07,Pirc Defense #4,60+0,Time forfeit,13291
Rated Bullet game,1-0,2061,1836,5,-6,D33,Tarrasch Defense: Prague Variation,60+1,Time forfeit,13297
Rated Bullet game,1-0,2141,1917,7,-27,A49,East Indian Defense,120+0,Time forfeit,13300
Rated Bullet game,0-1,1598,2074,-6,2,B07,Pirc Defense #4,60+0,Time forfeit,13304
Rated Bullet game,0-1,1830,2066,-5,5,B10,Caro-Kann Defense,60+1,Time forfeit,13313
Rated Bullet game,0-1,1243,2148,-1,0,B10,Caro-Kann Defense,120+0,Time forfeit,13323
Rated Bullet game,1-0,2071,2148,14,-18,B10,Caro-Kann Defense,60+1,Normal,13342
Rated Bullet game,0-1,2130,2085,-17,13,A46,Yusupov-Rubinstein System,60+1,Normal,13345
Rated Bullet game,0-1,2098,2113,-11,14,D11,Slav Defense: Modern Line,60+1,Time forfeit,13365
Rated Bullet game,0-1,1373,2076,0,0,B07,Pirc Defense #4,0+1,Time forfeit,13369
Rated Bullet game,1-0,1939,2076,85,-16,A04,Zukertort Opening: Pirc Invitation,60+0,Normal,13379
Rated Bullet game,1-0,2060,2024,11,-48,B21,Sicilian Defense: Smith-Morra Gambit,60+0,Time forfeit,13392
Rated Bullet game,0-1,1669,1976,-3,15,A00,Van't Kruijs Opening,0+1,Normal,13404
Rated Bullet game,1-0,1666,1991,18,-81,A00,Van't Kruijs Opening,0+1,Time forfeit,13412
Rated Bullet game,1-0,2085,1911,6,-7,A13,English Opening: Agincourt Defense,120+0,Normal,13419
Rated Bullet game,0-1,1670,1959,-4,12,C00,French Defense: La Bourdonnais Variation,0+1,Time forfeit,13433
Rated Bullet game,1-0,1971,1666,10,-3,A00,Van't Kruijs Opening,0+1,Time forfeit,13437
Rated Bullet game,1-0,1981,1663,10,-4,A40,Horwitz Defense,0+1,Time forfeit,13440
Rated Bullet game,1-0,2091,1904,6,-7,A13,English Opening: Agincourt Defense,60+0,Normal,13442
Rated Bullet game,0-1,1991,1659,-56,20,C00,French Defense: La Bourdonnais Variation,0+1,Normal,13443
Rated Bullet game,0-1,2087,2097,-11,11,A02,Bird Opening,60+1,Normal,13454
Rated Bullet game,1-0,1957,1670,10,-4,A00,Van't Kruijs Opening,0+1,Normal,13469
Rated Bullet game,1-0,2108,2076,11,-11,A36,"English Opening: Symmetrical Variation, Botvinnik System",60+1,Time forfeit,13470
Rated Bullet game,1-0,1975,1662,8,-3,A84,Dutch Defense: Classical Variation,0+1,Time forfeit,13481
Rated Bullet game,0-1,2065,2119,-9,10,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",60+1,Normal,13484
Rated Bullet game,0-1,1659,1983,-4,7,A00,Van't Kruijs Opening,0+1,Normal,13486
Rated Bullet game,1-0,1990,1655,7,-3,A40,Horwitz Defense,0+1,Time forfeit,13491
Rated Bullet game,0-1,1666,1967,-4,8,B21,Sicilian Defense: McDonnell Attack,0+1,Normal,13492
Rated Blitz game,1-0,1951,1793,6,-7,C10,French Defense: Marshall Variation,300+0,Normal,13496
Rated Bullet game,0-1,1652,1997,-4,7,A00,Van't Kruijs Opening,0+1,Normal,13499
Rated Bullet game,1-0,2129,2056,9,-9,D45,"Semi-Slav Defense: Stoltz Variation, Shabalov Attack",60+1,Normal,13502
Rated Blitz game,1-0,2162,1957,8,-5,D07,"Queen's Gambit Refused: Chigorin Defense, Main Line",180+0,Time forfeit,13508
Rated Bullet game,0-1,1648,2004,-3,5,A00,Van't Kruijs Opening,0+1,Normal,13510
Rated Bullet game,0-1,1645,2009,-3,6,C00,French Defense: La Bourdonnais Variation,0+1,Normal,13516
Rated Bullet game,1-0,1775,2127,21,-26,D10,Slav Defense,60+0,Time forfeit,13521
Rated Bullet game,0-1,1642,2015,-3,5,A00,Van't Kruijs Opening,0+1,Time forfeit,13525
Rated Blitz game,0-1,1833,1952,-7,7,C53,"Italian Game: Classical Variation, Giuoco Pianissimo",180+0,Normal,13527
Rated Blitz game,1-0,2170,1693,2,-1,A08,King's Indian Attack: French Variation,300+0,Normal,13531
Rated Bullet game,1-0,1636,2025,24,-42,A00,Van't Kruijs Opening,0+1,Normal,13533
Rated Blitz game,0-1,1692,2172,-2,3,C01,French Defense: Exchange Variation,300+0,Normal,13537
Rated Bullet game,1-0,1983,1660,6,-4,C01,French Defense: Exchange Variation,0+1,Normal,13538
Rated Bullet game,1-0,2020,1639,5,-3,A00,Mieses Opening,0+1,Time forfeit,13540
Rated Blitz game,1-0,2175,1690,2,-1,A08,King's Indian Attack: French Variation,300+0,Normal,13545
Rated Bullet game,1-0,1989,1656,7,-3,A00,Van't Kruijs Opening,0+1,Normal,13549
Rated Bullet game,0-1,1598,2101,-1,2,B13,"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line",120+0,Normal,13551
Rated Bullet game,1-0,1653,1996,23,-39,A00,Van't Kruijs Opening,0+1,Normal,13554
Rated Bullet game,1-0,1957,1676,7,-5,A13,English Opening: Agincourt Defense,0+1,Time forfeit,13563
Rated Bullet game,1-0,2103,1597,2,-2,A40,Queen's Pawn,120+0,Time forfeit,13565
Rated Bullet game,1-0,1964,1671,7,-4,A84,Dutch Defense: Classical Variation,0+1,Normal,13570
Rated Bullet game,1-0,1971,1667,6,-4,A84,Dutch Defense: Classical Variation,0+1,Normal,13574
Rated Bullet game,0-1,1545,2105,-1,1,B10,Caro-Kann Defense: Two Knights Attack,120+0,Time forfeit,13584
Rated Bullet game,1-0,2106,1777,4,-3,D04,Queen's Pawn Game: Colle System,120+0,Time forfeit,13599
Rated Blitz game,0-1,1815,1959,-7,7,D02,Queen's Pawn Game: Chigorin Variation,180+0,Time forfeit,13605
Rated Bullet game,1-0,2110,1490,1,-1,A46,Yusupov-Rubinstein System,120+0,Time forfeit,13612
Rated Blitz game,0-1,1941,1986,-10,30,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation",180+0,Normal,13619
Rated Bullet game,1-0,2111,1328,1,-4,D05,Colle System,120+0,Normal,13621
Rated Bullet game,0-1,2047,2112,-9,12,A04,Zukertort Opening: Slav Invitation,120+0,Normal,13630
Rated Bullet game,1-0,2051,2105,13,-16,C00,French Defense: Knight Variation,120+0,Time forfeit,13644
Rated Bullet game,0-1,2124,2038,-19,13,A40,Queen's Pawn,120+0,Normal,13658
Rated Bullet game,1-0,1951,1568,3,-3,C21,Center Game: Halasz-McDonnell Gambit,120+0,Normal,13664
Rated Blitz game,0-1,1808,1966,-6,7,D02,Queen's Pawn Game: Chigorin Variation,180+0,Time forfeit,13665
Rated Blitz game,0-1,2016,1931,-39,14,B07,Pirc Defense #2,180+0,Time forfeit,13666
Rated Bullet game,0-1,2089,2064,-16,12,A88,"Dutch Defense: Leningrad Variation, Warsaw Variation",120+0,Normal,13670
Rated Blitz game,1-0,1973,1500,2,-37,C00,Rat Defense: Small Center Defense,180+0,Normal,13676
Rated Blitz game,0-1,1894,2095,-37,6,A40,Englund Gambit,180+0,Normal,13687
Rated Bullet game,0-1,2076,2073,-11,14,C00,French Defense: Knight Variation,120+0,Normal,13690
Rated Bullet game,0-1,1954,1748,-21,19,C30,"King's Gambit Declined, Queen's Knight Defense",120+0,Normal,13696
Rated Bullet game,0-1,2087,2065,-14,12,A81,Dutch Defense: Semi-Leningrad Variation,120+0,Normal,13700
Rated Blitz game,1/2-1/2,1975,1463,-6,217,C00,Rat Defense: Small Center Defense,180+0,Normal,13705
Rated Bullet game,0-1,2072,2073,-12,13,D10,Slav Defense #2,120+0,Normal,13716
Rated Bullet game,1-0,2086,2060,13,-11,D02,Queen's Pawn Game: Zukertort Variation,120+0,Normal,13736
Rated Bullet game,1-0,1977,1495,3,-2,A04,Zukertort Opening: Kingside Fianchetto,120+0,Normal,13749
Rated Bullet game,0-1,1838,2099,-4,5,B10,Caro-Kann Defense,120+0,Normal,13752
Rated Bullet game,0-1,1631,2049,-2,2,D31,Queen's Gambit Declined: Queen's Knight Variation,120+0,Normal,13759
Rated Bullet game,0-1,1834,1980,-9,12,B07,Pirc Defense #4,60+0,Time forfeit,13766
Rated Bullet game,1-0,2104,1834,4,-4,D02,Queen's Pawn Game: Chigorin Variation,120+0,Normal,13771
Rated Bullet game,1-0,2051,1594,1,-3,D35,Queen's Gambit Declined: Normal Defense,120+0,Time forfeit,13790
Rated Blitz game,0-1,1676,2084,-2,5,C45,Scotch Game: Classical Variation,180+1,Normal,13799
Rated Bullet game,0-1,1591,2052,-3,2,B30,Sicilian Defense: Old Sicilian,120+0,Normal,13801
Rated Bullet game,1-0,1825,2054,22,-20,B30,Sicilian Defense: Old Sicilian,120+0,Normal,13806
Rated Bullet game,1-0,2034,1847,7,-7,A40,Horwitz Defense,120+0,Time forfeit,13814
Rated Blitz game,0-1,1676,2025,-3,4,D31,Queen's Gambit Declined: Charousek (Petrosian) Variation,60+3,Normal,13826
Rated Bullet game,0-1,1322,1992,-2,1,A40,Horwitz Defense,60+0,Time forfeit,13829
Rated Bullet game,1-0,1993,1320,1,-2,A13,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",60+0,Time forfeit,13837
Rated Blitz game,1-0,2029,1673,3,-2,C61,Ruy Lopez: Bird Variation,60+3,Normal,13838
Rated Bullet game,1-0,2041,1840,6,-7,A40,Horwitz Defense,120+0,Normal,13839
Rated Bullet game,0-1,1318,1994,-2,2,A50,Slav Indian,60+0,Time forfeit,13845
Rated Bullet game,1-0,1996,1316,1,-2,A13,English Opening: Agincourt Defense #2,60+0,Time forfeit,13852
Rated Blitz game,0-1,1671,2032,-3,3,E81,"King's Indian Defense: Saemisch Variation, Normal Defense",60+3,Normal,13858
Rated Blitz game,1-0,2035,1668,3,-3,C77,"Ruy Lopez: Morphy Defense, Mackenzie Variation",60+3,Normal,13876
Rated Blitz game,0-1,1665,2038,-3,3,D48,Semi-Slav Defense: Meran Variation,60+3,Time forfeit,13891
Rated Classical game,0-1,1952,1623,-21,37,E12,Queen's Indian Defense: Kasparov Variation,300+10,Time forfeit,13904
Rated Blitz game,0-1,1741,2041,-4,4,D02,Queen's Pawn Game: Symmetrical Variation,60+3,Time forfeit,13915
Rated Bullet game,0-1,1801,2047,-5,5,B20,Sicilian Defense: Wing Gambit,120+0,Normal,13925
Rated Bullet game,0-1,1796,2052,-5,5,B20,Sicilian Defense: Wing Gambit,120+0,Normal,13932
Rated Bullet game,0-1,1791,2057,-5,5,B20,Sicilian Defense: Wing Gambit,120+0,Normal,13949
Rated Classical game,1-0,1962,1908,37,-18,A21,"English Opening: King's English Variation, Reversed Sicilian",480+0,Normal,13971
Rated Bullet game,1-0,1874,1982,15,-15,A60,"Benoni Defense: Modern Variation, Snake Variation",60+0,Time forfeit,13978
Rated Bullet game,0-1,1759,1997,-5,8,C00,French Defense #2,120+0,Normal,13996
Rated Bullet game,1-0,1967,1894,9,-9,C02,French Defense: Advance Variation #3,60+0,Time forfeit,14016
Rated Bullet game,1-0,2005,1885,14,-7,A04,Zukertort Opening: Queen's Gambit Invitation,60+0,Normal,14028
Rated Bullet game,0-1,1878,2019,-7,12,A40,Horwitz Defense,60+0,Normal,14043
Rated Blitz game,1-0,2029,2081,13,-13,B00,St. George Defense,300+0,Time forfeit,14051
